id	PND	Forelimb_grasp	Forelimb_placing	Gait	Walk	Surface_T_(s)	NG_turn	NG_top	Auditory_startle	Tactile_startle	Air_righting	Wire	Weight_(g)	Ears_unfolding	Ears_twitch	Gait_b	Walk_b	Eyes_opened_left	Eyes_opened_right	Incisor_eruption
5	11	1	1	03.21	06.44	00.85	03.64	60.00	0	1	1	05.34	6.537	1	0	1	1	1	0	1
6	11	1	1	02.97	04.94	00.94	10.35	14.69	0	1	1	11.06	6.717	1	0	1	1	1	0	1
7	11	1	1	05.60	08.07	00.69	04.86	58.44	0	1	0	09.18	5.197	1	0	1	1	1	1	1
8	11	1	1	05.39	20.77	00.59	06.15	60.00	0	1	0	03.00	4.815	1	0	1	1	1	0	1
9	11	1	1	08.93	13.22	00.84	03.24	60.00	0	1	0	02.90	4.794	1	0	1	1	0	0	1
10	11	1	1	01.50	02.93	00.29	02.05	33.50	0	1	0	01.97	4.751	1	0	1	1	0	0	1
0	12	1	1	10.46	15.63	00.63	06.36	60.00	0	1	1	04.53	6.946	1	0	1	1	1	1	1
1	12	1	1	12.17	40.84	00.94	05.43	60.00	0	1	1	04.63	7.003	1	0	1	1	1	1	1
2	12	1	1	05.49	07.60	00.47	02.48	60.00	0	1	1	01.34	7.298	1	0	1	1	1	1	1
3	12	1	1	16.37	37.25	00.69	02.83	60.00	1	1	1	06.81	6.753	1	0	1	1	1	1	1
4	12	1	1	06.15	10.57	00.44	07.95	60.00	1	1	1	07.88	7.595	1	0	1	1	1	1	1
5	12	1	1	01.55	04.04	00.58	02.36	17.56	0	1	1	02.15	6.896	1	0	1	1	1	1	1
6	12	1	1	13.24	17.88	00.56	05.49	60.00	0	1	1	21.84	7.059	1	0	1	1	1	1	1
7	12	1	1	08.37	20.91	00.63	04.20	60.00	0	1	0	05.16	5.296	1	0	1	1	1	1	1
8	12	1	1	07.19	14.84	00.84	04.57	60.00	0	1	0	06.19	4.968	1	0	1	1	1	0	1
9	12	1	1	05.15	10.45	00.75	07.59	19.69	0	1	0	04.37	4.877	1	0	1	1	1	0	1
10	12	1	1	2.36	16.90	00.53	04.23	60.00	0	1	1	07.38	4.992	1	0	1	1	1	1	1
0	13	1	1	01.68	05.38	00.66	07.36	60.00	1	1	1	06.59	7.308	1	0	1	1	1	1	1
1	13	1	1	01.15	05.02	00.35	01.59	14.69	1	1	1	00.94	6.882	1	0	1	1	1	1	1
2	13	1	1	02.01	07.32	00.31	02.21	60.00	1	1	1	05.44	7.658	1	0	1	1	1	1	1
